Depto;Fabricante;Modelo;IP;DriverName;DriverFolder
TI;RICOH;SP 377SFNwX;172.25.156.60;RICOH SP 377SFNwX PCL 6;Ricoh\SP377
MARKETING;EPSON;L6191;172.25.156.62;EPSON L6190 Series;Epson\L6191
RH;BROTHER;DCP-L2540DW;172.25.156.64;Brother DCP-L2540DW series;Brother\DCP-L2540DW
CENTER;RICOH;SP 377SFNwX;172.25.156.65;RICOH SP 377SFNwX PCL 6;Ricoh\SP377
COMPRAS;RICOH;SP 377SFNwX;172.25.156.66;RICOH SP 377SFNwX PCL 6;Ricoh\SP377
COMPLIANCE;RICOH;SP 377SFNwX;172.25.156.68;RICOH SP 377SFNwX PCL 6;Ricoh\SP377
FINANCEIRO;RICOH;SP 377SFNwX;172.25.156.69;RICOH SP 377SFNwX PCL 6;Ricoh\SP377
LOGISTICA;RICOH;SP 377SFNwX;172.25.156.70;RICOH SP 377SFNwX PCL 6;Ricoh\SP377
LOJA;RICOH;SP 377SFNwX;172.25.156.72;RICOH SP 377SFNwX PCL 6;Ricoh\SP377
AUDITORIA;RICOH;SP 377SFNwX;172.25.156.73;RICOH SP 377SFNwX PCL 6;Ricoh\SP377
ESTOQUE;BROTHER;DCP-L2540DW;172.25.156.76;Brother DCP-L2540DW series;Brother\DCP-L2540DW
CONTABILIDADE;RICOH;SP 377SFNwX;172.25.156.77;RICOH SP 377SFNwX PCL 6;Ricoh\SP377
